from,to,count
navigation,hero_cta,8
product_offers,pricing_plans,4
pricing_plans,device_promo,3
faq_help,footer,3
hero_cta,quick_actions,3
quick_actions,product_offers,3
hero_cta,content_feature,3
news,footer,3
hero_cta,product_offers,2
content_feature,business_section,2
business_section,trust_stats,2
trust_stats,news,2
device_promo,service_categories,1
service_categories,faq_help,1
pricing_plans,app_promo,1
app_promo,faq_help,1
device_promo,app_promo,1
app_promo,footer,1
product_offers,service_categories,1
service_categories,content_feature,1
content_feature,footer,1
device_promo,quick_actions,1
quick_actions,faq_help,1
content_feature,trust_stats,1
trust_stats,business_section,1
business_section,news,1
